Symbol,Yahoo_Symbol,Date,Open,High,Low,Close,Volume,SMA20,SMA50,SMA100,SMA200,EMA9,EMA20,EMA50,RSI14,ATR14,ATR_Pct,Volume_Ratio,52W_High,52W_Low,Distance_200DMA_Pct,Distance_52W_High_Pct,Support,Resistance,Pivot,Return_5D_Pct,Return_20D_Pct,Return_60D_Pct,Above_200DMA,Near_200DMA,Recent_200DMA_Cross_Down,Breakout,Near_Breakout,Technical_Score,Trend_Score,Momentum_Score,RSI_Score,Volume_Score,Position_Score,Breakout_Score,Setup,name,series,isin,Above_20DMA,Above_50DMA
AADHARHFC,AADHARHFC.NS,2026-09-18,467.0,470.70001220703125,453.70001220703125,461.6499938964844,2175228.0,469.07250061035154,489.6640008544922,491.10949951171875,483.50524963378905,464.70526969479226,470.9772268243785,482.36348580918036,42.30148180346966,13.717088635086474,2.9713178417505306,5.557022228569195,563.0,430.1499938964844,-4.520169275071584,-18.001777283040077,440.1499938964844,488.0,465.0166727701823,-0.22693284695161076,-2.800298551155611,-10.964321331439852,False,False,True,False,False,44.71,25.0,35.63,68.6,100.0,13.84,35.0,Neutral Watch,Aadhar Housing Finance Limited,EQ,INE883F01010,False,False
AAKASH,AAKASH.NS,2026-09-18,8.920000076293945,9.180000305175781,8.800000190734863,8.880000114440918,78109.0,8.782500076293946,8.889799957275391,8.956599960327148,8.747099974155425,8.866152307144562,8.830309999598636,8.86053767809976,51.63148781544199,0.4198168090898938,4.727666708102575,0.6491796220979882,13.399999618530273,7.210000038146973,1.5193623106877219,-33.73134054301647,8.180000305175781,9.979999542236328,8.90666675567627,-2.4175852506203577,1.9517804311067755,0.45248824844552615,True,True,True,False,False,48.21,25.0,54.27,87.26,37.72,62.15,35.0,200 DMA Recovery Watch,Aakash Exploration Services Limited,EQ,INE087Z01024,True,False
AAREYDRUGS,AAREYDRUGS.NS,2026-09-18,103.0,103.5,98.80999755859375,102.12999725341797,289834.0,91.23999977111816,84.68419998168946,84.78779998779297,77.37585008621215,97.88639399529109,93.41597373156242,87.90456031347361,70.65574828415708,4.38864888028444,4.29712033516927,1.1796145172430215,103.5,50.310001373291016,31.992084273871946,-1.323674151286991,74.5999984741211,101.29000091552734,98.36333465576172,2.150423909077892,23.659040782113205,12.53994187704459,True,False,True,False,True,69.65,25.0,100.0,74.69,56.29,100.0,75.0,Pre-Breakout Watch,Aarey Drugs & Pharmaceuticals Limited,EQ,INE198H01019,True,True
AARON,AARON.NS,2026-09-18,124.41999816894531,126.98999786376953,115.0,119.91999816894531,38147.0,130.26449966430664,130.4254005432129,126.76170066833497,142.0110502243042,126.17731527259478,129.02314740663752,129.80331977303877,38.03451555652365,7.395509128261692,6.167035724802775,3.0294992395875107,228.0,106.80000305175781,-15.555868378176497,-47.40350957502398,120.5999984741211,144.0,124.18666585286458,-12.435194712514718,-13.912422439511174,1.4895010598246383,False,False,False,False,False,34.52,0.0,23.37,60.07,100.0,0.0,35.0,Weak / Avoid,Aaron Industries Limited,EQ,INE721Z01010,False,False
AARTECH,AARTECH.NS,2026-09-18,51.45000076293945,51.81999969482422,49.77000045776367,51.33000183105469,17042.0,49.72650012969971,48.756600036621094,47.1492000579834,47.0229500579834,50.816075362198184,50.12163828588488,49.02341042924473,56.196786904926164,2.2200238734616677,4.325002521466017,0.2281641169685849,64.75,33.5099983215332,9.159467382970043,-20.72586589798504,46.5,53.47999954223633,50.57666778564453,-2.228567940848214,4.58435190720865,2.169586218495434,True,False,True,False,False,54.04,25.0,60.9,96.39,22.99,100.0,35.0,Neutral Watch,Aartech Solonics Limited,BE,INE01C001026,True,True
AARTIDRUGS,AARTIDRUGS.NS,2026-09-18,428.3500061035156,435.20001220703125,426.0,431.79998779296875,88332.0,424.2274993896484,418.9909997558594,399.4145004272461,386.8492501831055,427.57929536317715,424.66542216653096,415.8784621837535,56.83283739610578,13.600791389781545,3.149789665186974,0.6234261193608492,534.5499877929688,318.95001220703125,11.619703951497119,-19.221775763989935,409.95001220703125,444.0,428.4166768391927,0.7701255059437084,3.449926714674456,15.85725077816955,True,False,False,False,False,57.61,25.0,69.59,97.67,36.82,100.0,35.0,Neutral Watch,Aarti Drugs Limited,EQ,INE767A01016,True,True
AARTIIND,AARTIIND.NS,2026-09-18,476.6499938964844,493.45001220703125,476.25,491.1499938964844,541708.0,507.1000061035156,503.4240026855469,488.43800170898436,449.2537515258789,488.2940777471782,498.0060990259729,498.789859985102,45.78900408002864,15.251198556771364,3.1052018215001205,0.7864764632572682,551.75,338.04998779296875,9.325741238288154,-10.98323626706219,459.54998779296875,551.75,476.3500061035156,-0.31459676723035734,-6.838015454443891,5.385689681568162,True,False,False,False,False,50.81,25.0,40.63,75.58,42.53,100.0,35.0,Neutral Watch,Aarti Industries Limited,EQ,INE769A01020,False,False
AARTIPHARM,AARTIPHARM.NS,2026-09-18,827.0,845.7000122070312,812.4000244140625,820.4000244140625,1901494.0,837.6150085449219,779.4180053710937,734.0750012207031,725.6482516479492,824.8845878905844,826.2170742675502,791.8368121359637,50.31989238391726,33.773044441961204,4.1166557090344105,3.819503916887011,940.5,585.0,13.057534769901501,-12.769800700259172,765.0,894.7000122070312,799.2666625976562,-0.6478928956630381,-1.0672264800648201,18.77805268782229,True,False,False,False,False,64.13,25.0,62.89,84.64,100.0,100.0,35.0,Neutral Watch,Aarti Pharmalabs Limited,EQ,INE0LRU01027,False,True
AARTISURF,AARTISURF.NS,2026-09-18,530.0,545.0,530.0,535.9500122070312,9675.0,532.8450012207031,494.5349993896484,441.59399963378905,417.82649963378907,521.4253944193645,526.7914780957333,500.5703648671332,53.30789226611107,30.911781869097705,5.767661379799884,0.5225633962569878,677.7000122070312,316.0,28.270948031485197,-20.916334284600346,487.0,623.0,502.23333740234375,4.555216100898751,-9.02223146861305,41.430266510778324,True,False,False,False,False,55.35,25.0,65.1,90.62,33.29,100.0,35.0,Neutral Watch,Aarti Surfactants Limited,BE,INE09EO01013,True,True
AARVI,AARVI.NS,2026-09-18,141.89999389648438,141.89999389648438,138.1199951171875,139.9499969482422,3984.0,144.9440010070801,150.4490005493164,142.3919005584717,134.89495021820068,141.8689187281493,144.4710964422856,146.29246717573608,37.22320201135723,5.27054569603749,3.766020586614732,0.20042711501165889,168.39999389648438,115.98999786376953,3.74739508177635,-16.894298087522753,139.25,161.0,141.00333658854166,-1.4714139937196613,-10.179064796138814,-6.531756534003619,True,False,True,False,False,39.73,25.0,24.42,58.45,22.01,79.98,35.0,Weak / Avoid,Aarvi Encon Limited,EQ,INE754X01016,False,False
AAVAS,AAVAS.NS,2026-09-18,1296.0,1304.9000244140625,1273.800048828125,1284.5999755859375,164549.0,1292.9650024414063,1371.5220092773438,1388.1030041503907,1368.3505029296875,1284.7458793370138,1302.4270968502972,1344.6292673584226,40.662133016942704,35.785615945801084,2.7857400456105714,1.1811774231871097,1771.9000244140625,1060.4000244140625,-6.120546392494985,-27.501554383084724,1234.199951171875,1407.9000244140625,1274.9000244140625,-0.4417633904117424,-6.42483028154599,-13.3549172575528,False,False,True,False,False,34.38,25.0,26.47,65.32,56.34,1.04,35.0,Weak / Avoid,Aavas Financiers Limited,EQ,INE216P01012,False,False
ABAN,ABAN.NS,2026-09-18,14.319999694824219,14.600000381469727,14.039999961853027,14.539999961853027,11942.0,15.144999885559082,15.909999923706055,15.97299991607666,19.18179991722107,14.654854395026504,15.179174021697476,15.773123338192804,36.92727600882821,0.4703123062594662,3.2346100928017334,0.6834466497264382,45.619998931884766,12.890000343322754,-24.1989801551455,-68.12801336632492,14.079999923706055,17.389999389648438,14.440000216166178,-1.222828137978793,-16.388726439472446,4.830570164542847,False,False,False,False,False,24.68,0.0,21.09,57.85,38.92,0.0,35.0,Weak / Avoid,Aban Offshore Limited,BE,INE421A01028,False,False
