Yahoo_Symbol,Reason
PNGSREVA.NS,insufficient or invalid OHLCV
POEL.NS,insufficient or invalid OHLCV
POLYSPIN.NS,insufficient or invalid OHLCV
POWERICA.NS,insufficient or invalid OHLCV
PRADPME.NS,insufficient or invalid OHLCV
PRANAV.NS,insufficient or invalid OHLCV
PRASOLCHEM.NS,insufficient or invalid OHLCV
PRAVEG.NS,insufficient or invalid OHLCV
PREMCO.NS,insufficient or invalid OHLCV
PRIORITY.NS,insufficient or invalid OHLCV
PRISMX.NS,insufficient or invalid OHLCV
PWL.NS,insufficient or invalid OHLCV
QUINT.NS,insufficient or invalid OHLCV
RAJPALAYAM.NS,insufficient or invalid OHLCV
RAMBHAJO.NS,insufficient or invalid OHLCV
RENTOMOJO.NS,insufficient or invalid OHLCV
RIR.NS,insufficient or invalid OHLCV
RMC.NS,insufficient or invalid OHLCV
RRECL.NS,insufficient or invalid OHLCV
RRIL.NS,insufficient or invalid OHLCV
RSDFIN.NS,insufficient or invalid OHLCV
RSL.NS,insufficient or invalid OHLCV
RTSPOWR.NS,insufficient or invalid OHLCV
RUDRA.NS,insufficient or invalid OHLCV
SAB.NS,insufficient or invalid OHLCV
SAHLIBHFI.NS,insufficient or invalid OHLCV
SAICAPI.NS,insufficient or invalid OHLCV
SAIPARENT.NS,insufficient or invalid OHLCV
SAMBANDAM.NS,insufficient or invalid OHLCV
SAPPL.NS,insufficient or invalid OHLCV
SAYAJIHOTL.NS,insufficient or invalid OHLCV
SAYAJIIND.NS,insufficient or invalid OHLCV
SBIFUNDS.NS,insufficient or invalid OHLCV
SCANSTL.NS,insufficient or invalid OHLCV
SEDEMAC.NS,insufficient or invalid OHLCV
SEIL.NS,insufficient or invalid OHLCV
SEKURITIND.NS,insufficient or invalid OHLCV
SGLRES.NS,insufficient or invalid OHLCV
SGRL.NS,insufficient or invalid OHLCV
SHADOWFAX.NS,insufficient or invalid OHLCV
SHANKESH.NS,insufficient or invalid OHLCV
SHARDUL.NS,insufficient or invalid OHLCV
SHBAJRG.NS,insufficient or invalid OHLCV
SHERVANI.NS,insufficient or invalid OHLCV
SHILCTECH.NS,insufficient or invalid OHLCV
SHILGRAVQ.NS,insufficient or invalid OHLCV
SHINDL.NS,insufficient or invalid OHLCV
SHIPROCKET.NS,insufficient or invalid OHLCV
SHIVAAGRO.NS,insufficient or invalid OHLCV
SHIVACEM.NS,insufficient or invalid OHLCV
SHRADDHA.NS,insufficient or invalid OHLCV
SHRIKRISH.NS,insufficient or invalid OHLCV
SHRJAGP.NS,insufficient or invalid OHLCV
SHUKRAPHAR.NS,insufficient or invalid OHLCV
SICAGEN.NS,insufficient or invalid OHLCV
SIEL.NS,insufficient or invalid OHLCV
SIKA.NS,insufficient or invalid OHLCV
SIMPLXREA.NS,insufficient or invalid OHLCV
SINGERIND.NS,insufficient or invalid OHLCV
SKFINDUS.NS,insufficient or invalid OHLCV
SKYWAYS.NS,insufficient or invalid OHLCV
SONA.NS,insufficient or invalid OHLCV
SONAL.NS,insufficient or invalid OHLCV
SRIKPRIND.NS,insufficient or invalid OHLCV
SRTL.NS,insufficient or invalid OHLCV
SSRETAIL.NS,insufficient or invalid OHLCV
STEAMHOUSE.NS,insufficient or invalid OHLCV
STLSTRINF.NS,insufficient or invalid OHLCV
SUDEEPPHRM.NS,insufficient or invalid OHLCV
SUMEDHA.NS,insufficient or invalid OHLCV
SUNLOC.NS,insufficient or invalid OHLCV
SUNRAKSHAK.NS,insufficient or invalid OHLCV
SUNSHIEL.NS,insufficient or invalid OHLCV
SUNSHINE.NS,insufficient or invalid OHLCV
SUPTANERY.NS,insufficient or invalid OHLCV
SURYALA.NS,insufficient or invalid OHLCV
SVGLOBAL.NS,insufficient or invalid OHLCV
SWARNSAR.NS,insufficient or invalid OHLCV
SWISSMLTRY.NS,insufficient or invalid OHLCV
SYMBIOTEC.NS,insufficient or invalid OHLCV
TAALTECH.NS,insufficient or invalid OHLCV
TAMBOLIIN.NS,insufficient or invalid OHLCV
TANAA.NS,insufficient or invalid OHLCV
TCC.NS,insufficient or invalid OHLCV
TECHNOCRAF.NS,insufficient or invalid OHLCV
TECHNVISN.NS,insufficient or invalid OHLCV
TEMPSENS.NS,insufficient or invalid OHLCV
TENNIND.NS,insufficient or invalid OHLCV
TERAI.NS,insufficient or invalid OHLCV
TGVSL.NS,insufficient or invalid OHLCV
THACKER.NS,insufficient or invalid OHLCV
THAKDEV.NS,insufficient or invalid OHLCV
TIMEX.NS,insufficient or invalid OHLCV
TOYAMSL.NS,insufficient or invalid OHLCV
TRANSCOR.NS,insufficient or invalid OHLCV
TRANSPEK.NS,insufficient or invalid OHLCV
TRITONV.NS,insufficient or invalid OHLCV
TURTLEMINT.NS,insufficient or invalid OHLCV
TUTIALKA.NS,insufficient or invalid OHLCV
UDAYJEW.NS,insufficient or invalid OHLCV
ULTRAMAR.NS,insufficient or invalid OHLCV
UPHOT.NS,insufficient or invalid OHLCV
UTLSOLAR.NS,insufficient or invalid OHLCV
VADILENT.NS,insufficient or invalid OHLCV
VAML.NS,insufficient or invalid OHLCV
VASUPRADA.NS,insufficient or invalid OHLCV
VEDAVAAG.NS,insufficient or invalid OHLCV
VEDPOWER.NS,insufficient or invalid OHLCV
VEEGALAND.NS,insufficient or invalid OHLCV
VELJAN.NS,insufficient or invalid OHLCV
VGCL.NS,insufficient or invalid OHLCV
VIDYAWIRES.NS,insufficient or invalid OHLCV
VIJSOLX.NS,insufficient or invalid OHLCV
VIRAT.NS,insufficient or invalid OHLCV
VIRTUALG.NS,insufficient or invalid OHLCV
VISHAL.NS,insufficient or invalid OHLCV
VISL.NS,insufficient or invalid OHLCV
VIVOBIOT.NS,insufficient or invalid OHLCV
VOEPL.NS,insufficient or invalid OHLCV
VOGL.NS,insufficient or invalid OHLCV
VOITHPAPR.NS,insufficient or invalid OHLCV
VTMLTD.NS,insufficient or invalid OHLCV
WAKEFIT.NS,insufficient or invalid OHLCV
WARDINMOBI.NS,insufficient or invalid OHLCV
WATERBASE.NS,insufficient or invalid OHLCV
WELSPLSOL.NS,insufficient or invalid OHLCV
WHBRADY.NS,insufficient or invalid OHLCV
WPIL.NS,insufficient or invalid OHLCV
XTRANET.NS,insufficient or invalid OHLCV
YOGI.NS,insufficient or invalid OHLCV
ZFSTEERING.NS,insufficient or invalid OHLCV
ZSARACOM.NS,insufficient or invalid OHLCV
