Open,High,Low,Close,Volume,Previous_Close,Daily_Return_Pct,SMA20,SMA50,SMA100,SMA200,EMA9,EMA20,EMA50,RSI14,ATR14,ATR_Percent,Average_Volume_20,Volume_Ratio,52W_High,52W_Low,Distance_From_52W_High_Pct,Distance_From_52W_Low_Pct,Distance_From_200DMA_Pct,Above_200DMA,Support,Resistance,Trend,Momentum,Breakout_Status,symbol,yahoo_symbol,company_name,fundamental_score,fundamental_status,sector_adjustment,sector_score,sector_index,technical_score,setup,market_adjustment,overall_score,risk_reward,setup_reasons,technical_rank,rank
22.979999542236328,25.149999618530273,22.309999465942383,24.899999618530273,17663.0,22.8700008392334,8.876251442083106,23.179000091552734,23.271600074768067,25.940000076293945,26.165200033187865,23.363468579982523,23.217866815517606,23.725770934933678,64.62765478504912,1.5314284733363561,6.150315248184525,4935.8,3.5785485635560597,42.75,19.299999237060547,-41.754386857239126,29.015547164978152,-4.835431844789321,False,22.0,24.799999237060547,Downtrend,Strong Positive,Confirmed Breakout,NAGREEKCAP,NAGREEKCAP.NS,Nagreeka Capital & Infrastructure Limited,,Unavailable,0,60,,77.0,Strong Breakout Watch,-5,72.0,-0.034482894697898954,Price trend is weak | Strong positive momentum | Confirmed price breakout | Volume is more than 2x average | RSI supports positive momentum | Price is below 200 DMA,82,107
37.79999923706055,37.79999923706055,32.36000061035156,34.5099983215332,173376.0,36.790000915527344,-6.197343129262755,32.24750013351441,32.71399993896485,33.55769990921021,33.32464998245239,33.203131881470256,32.70784632398362,32.84469960716838,67.12327756529518,2.2278575897216797,6.455687331435085,112079.95,1.5468957650320152,46.34000015258789,25.600000381469727,-25.528704773631798,34.804678934742824,3.556971610219385,True,30.1200008392334,37.75,Sideways,Strong Positive,No Breakout,BIOFILCHEM,BIOFILCHEM.NS,Biofil Chemicals & Pharmaceuticals Limited,,Unavailable,0,60,,74.0,200 DMA Recovery Watch,-2,72.0,0.7380418078894763,Strong positive momentum | Strong volume confirmation | RSI supports positive momentum | Price is above 200 DMA,125,107
29.780000686645508,29.780000686645508,28.020000457763672,28.799999237060547,5955.0,29.489999771118164,-2.3397780244589494,28.011000061035155,28.851400032043458,29.664400005340575,28.380700016021727,28.68639257860127,28.415413744430182,28.67075673985033,61.4084456341049,1.1357142584664481,3.943452390807647,3003.65,1.9825878514474056,38.79999923706055,20.0,-25.773196383077018,43.999996185302734,1.4774097214026194,True,26.510000228881836,29.700000762939453,Sideways,Strong Positive,No Breakout,DAMODARIND,DAMODARIND.NS,Damodar Industries Limited,,Unavailable,0,60,,74.0,200 DMA Recovery Watch,-2,72.0,0.3930139369775091,Strong positive momentum | Strong volume confirmation | RSI supports positive momentum | Price is above 200 DMA | Price is near 200 DMA,125,107
1548.0999755859375,1624.699951171875,1530.0,1592.199951171875,919086.0,1541.9000244140625,3.262204161189186,1538.6299987792968,1592.3039965820312,1664.072999267578,1584.1214971923828,1554.1364110598508,1553.2652455169164,1581.8488560584592,58.44517996161747,56.7357177734375,3.5633538194546137,305350.65,3.00993628145216,1925.0,1057.0,-17.288314224837663,50.63386482231551,0.5099642921209054,True,1478.0,1645.699951171875,Sideways,Positive,No Breakout,ONESOURCE,ONESOURCE.NS,Onesource Specialty Pharma Limited,,Unavailable,0,60,,73.0,200 DMA Recovery Watch,-2,71.0,0.468476557572959,Positive momentum | Volume is more than 2x average | RSI supports positive momentum | Price is above 200 DMA | Price is near 200 DMA,131,124
278.1499938964844,284.8999938964844,274.0,283.04998779296875,90543.0,276.75,2.2764183533762417,281.7200012207031,281.3500006103516,283.7030010986328,282.23900115966796,282.0839487067919,282.6243194823795,282.9721228270247,55.9369152330292,10.196428571428571,3.6023419929933174,29144.35,3.10670850439279,325.0,248.0,-12.907696063701923,14.133059593939013,0.28734038526518,True,272.0,296.8500061035156,Sideways,Positive,No Breakout,PRIMESECU,PRIMESECU.NS,Prime Securities Limited,,Unavailable,0,60,,73.0,200 DMA Recovery Watch,-2,71.0,1.2488718149831808,Positive momentum | Volume is more than 2x average | RSI supports positive momentum | Price is above 200 DMA | Price is near 200 DMA,131,124
9.149999618530273,9.399999618530273,9.039999961853027,9.100000381469727,134797.0,9.140000343322754,-0.4376363276862416,8.745000076293945,8.886199951171875,8.915799951553344,8.745949976444244,8.813599196908362,8.794479570632525,8.859432023206985,63.82977284333056,0.4249998501368931,4.670327827703366,162129.15,0.8314174224684457,13.399999618530273,7.210000038146973,-32.08954745874967,26.213596856075732,4.0481640757042765,True,8.0600004196167,9.979999542236328,Uptrend,Strong Positive,No Breakout,AAKASH,AAKASH.NS,Aakash Exploration Services Limited,,Unavailable,0,60,,73.0,Momentum Watch,-3,70.0,0.846153070235365,Price is in an uptrend | Strong positive momentum | RSI supports positive momentum | Price is above 200 DMA,131,133
187.8000030517578,189.0,187.0500030517578,188.02999877929688,1118348.0,188.05999755859375,-0.015951706735251037,187.37500228881837,186.57140106201172,185.2993005371094,185.3836003112793,188.07898268664385,187.65376031967273,186.79538135263172,55.123673959049434,2.4149976457868303,1.2843682717997946,1840214.4,0.6077270126785227,210.75,170.10000610351562,-10.780546249443951,10.540853634578836,1.4275256622344012,True,184.10000610351562,191.8000030517578,Strong Uptrend,Positive,No Breakout,CASTROLIND,CASTROLIND.NS,Castrol India Limited,,Unavailable,0,60,,72.0,Momentum Watch,-3,69.0,0.959290406746494,Strong price trend | Positive momentum | RSI supports positive momentum | Price is above 200 DMA | Price is near 200 DMA,143,146
258.6000061035156,259.0,252.0,258.8999938964844,1192.0,256.8999938964844,0.7785130585896027,257.5319969177246,254.77219848632814,254.61469940185546,248.04044944763183,258.3104603485323,257.8832714234509,255.88315471822165,56.13921641713981,7.125001089913504,2.7520282958223183,2389.25,0.49890132886889194,307.0,191.0,-15.667754431112582,35.54973502433737,4.378134482918398,True,251.6999969482422,265.0,Strong Uptrend,Positive,No Breakout,NAHARCAP,NAHARCAP.NS,Nahar Capital and Financial Services Limited,,Unavailable,0,60,,72.0,Momentum Watch,-3,69.0,0.8472234290328254,Strong price trend | Positive momentum | RSI supports positive momentum | Price is above 200 DMA,143,146
37.5,39.81999969482422,37.0,37.90999984741211,620683.0,36.61000061035156,3.550940222309018,35.24149990081787,34.78519996643067,35.86910007476806,37.13745004653931,36.028390522604845,35.52854868001531,35.273816056426,76.86565942610204,1.7692857469831194,4.667068726205489,85157.15,7.288677462784981,53.0,26.520000457763672,-28.47169840110923,42.948714905900545,2.0802446045828966,True,33.599998474121094,39.939998626708984,Sideways,Strong Positive,No Breakout,HPAL,HPAL.NS,HP Adhesives Limited,,Unavailable,0,60,,71.0,200 DMA Recovery Watch,-2,69.0,0.4709972465152176,Strong positive momentum | Volume is more than 2x average | RSI indicates overbought conditions | Price is above 200 DMA | Price is near 200 DMA,188,146
412.6000061035156,420.0,409.25,419.0,15197483.0,416.54998779296875,0.5881676338564512,412.1425018310547,396.7459997558594,392.6270001220703,400.5447001647949,418.0699956865499,413.00153991127195,403.114517743576,65.71170661179153,7.264288766043527,1.7337204692227988,12249727.2,1.2406384854023524,453.20001220703125,345.5,-7.546339648245192,21.273516642547033,4.6075506248396465,True,386.75,429.1000061035156,Sideways,Strong Positive,No Breakout,KOTAKBANK,KOTAKBANK.NS,Kotak Mahindra Bank Limited,,Unavailable,0,60,,71.0,200 DMA Recovery Watch,-2,69.0,0.31317848382994184,Strong positive momentum | Volume is above average | RSI supports positive momentum | Price is above 200 DMA,188,146
